latDeg_current,Mi8,Pixel4,Pixel4Modded,Pixel4XL,Pixel4XLModded,Pixel5,SamsungS20Ultra
37.44398270000001,0,0,0,0,0,0,1
37.4431622,0,0,0,0,1,0,0
37.33527279999999,0,1,0,0,0,0,0
37.624268799999996,1,0,0,0,0,0,0
37.3623531,0,0,0,1,0,0,0
37.634231400000004,1,0,0,0,0,0,0
37.430882399999994,0,1,0,0,0,0,0
37.3859735,0,1,0,0,0,0,0
37.4570338,0,0,0,1,0,0,0
37.3361882,0,0,0,0,0,0,1
37.4203852,1,0,0,0,0,0,0
37.440912,0,0,0,0,0,1,0
37.383873200000004,0,0,0,0,0,1,0
37.423295,1,0,0,0,0,0,0
37.630004,0,0,0,1,0,0,0
37.4166664,0,1,0,0,0,0,0
37.3912655,0,0,0,1,0,0,0
37.335901,0,1,0,0,0,0,0
37.456707200000004,0,0,0,1,0,0,0
37.3520752,1,0,0,0,0,0,0
37.4089695,0,0,0,1,0,0,0
37.4804752,0,1,0,0,0,0,0
37.380860399999996,1,0,0,0,0,0,0
37.507633899999995,0,0,0,1,0,0,0
37.334714899999994,0,0,0,1,0,0,0
37.6071505,0,1,0,0,0,0,0
37.5046851,0,0,0,0,1,0,0
37.361323,0,0,0,1,0,0,0
37.4257696,0,0,0,1,0,0,0
37.446030900000004,0,0,1,0,0,0,0
37.3904966,0,0,0,0,0,0,1
37.4658365,0,0,0,0,0,1,0
37.5871308,0,0,0,0,1,0,0
37.3944282,0,0,0,0,0,0,1
37.6267704,0,0,0,1,0,0,0
37.3876676,0,0,0,0,0,0,1
37.4301324,0,0,1,0,0,0,0
37.4250714,0,1,0,0,0,0,0
37.352458,0,0,0,0,0,0,1
37.5002833,0,1,0,0,0,0,0
37.4052857,1,0,0,0,0,0,0
37.3682223,0,0,0,1,0,0,0
37.449948299999996,0,0,0,0,0,1,0
37.334145299999996,0,1,0,0,0,0,0
37.335288399999996,0,1,0,0,0,0,0
37.4273271,1,0,0,0,0,0,0
37.3300757,0,0,0,0,0,0,1
37.461948299999996,0,0,0,0,0,1,0
37.6247325,0,0,0,1,0,0,0
37.3611935,0,1,0,0,0,0,0
37.4996566,0,1,0,0,0,0,0
37.41936079999999,0,0,0,1,0,0,0
37.6265713,0,1,0,0,0,0,0
37.3563862,0,0,0,0,1,0,0
37.4534287,0,1,0,0,0,0,0
37.4516565,0,0,0,0,1,0,0
37.3310231,0,0,0,0,0,0,1
37.4276896,1,0,0,0,0,0,0
37.429316299999996,0,1,0,0,0,0,0
37.4181075,1,0,0,0,0,0,0
37.3334809,0,0,0,0,0,0,1
37.4683817,0,1,0,0,0,0,0
37.4939836,0,1,0,0,0,0,0
37.3884995,0,0,0,0,0,0,1
37.5036986,0,0,0,1,0,0,0
37.393900099999996,0,0,0,0,0,1,0
37.6431027,0,1,0,0,0,0,0
37.455168900000004,0,1,0,0,0,0,0
37.346615299999996,0,1,0,0,0,0,0
37.428289500000005,0,1,0,0,0,0,0
37.3662188,0,0,0,1,0,0,0
37.329706200000004,0,0,0,0,0,0,1
37.395688299999996,0,0,0,0,0,1,0
37.4010055,0,0,0,1,0,0,0
37.3885756,0,0,0,0,0,1,0
37.4213568,0,1,0,0,0,0,0
37.4283826,0,1,0,0,0,0,0
37.452222799999994,1,0,0,0,0,0,0
37.5338219,0,0,0,0,1,0,0
37.4462158,0,1,0,0,0,0,0
37.440347499999994,0,0,0,0,0,1,0
37.587978799999995,0,0,0,0,1,0,0
37.4488304,0,0,1,0,0,0,0
37.44887429999999,0,0,0,1,0,0,0
37.518478,0,0,0,0,1,0,0
37.6830389,0,0,0,0,1,0,0
37.4438373,0,1,0,0,0,0,0
37.329381,0,0,0,1,0,0,0
37.58659829999999,0,0,0,1,0,0,0
37.3523408,0,0,0,0,0,0,1
37.334119799999996,0,0,0,0,0,0,1
37.6324252,0,0,0,1,0,0,0
37.427867,0,0,0,0,1,0,0
37.54526920000001,0,0,0,1,0,0,0
37.344128999999995,0,1,0,0,0,0,0
37.3359231,0,0,0,0,0,0,1
37.4838517,0,0,0,1,0,0,0
37.329013399999994,0,1,0,0,0,0,0
37.6199059,0,1,0,0,0,0,0
37.4283894,0,1,0,0,0,0,0
37.3941023,0,1,0,0,0,0,0
37.444407700000006,0,0,0,0,0,1,0
37.3677372,0,0,0,1,0,0,0
37.443956799999995,0,0,1,0,0,0,0
37.394830999999996,0,1,0,0,0,0,0
37.5082695,0,1,0,0,0,0,0
37.5442174,0,1,0,0,0,0,0
37.4496658,0,0,0,0,0,1,0
37.3521239,0,0,0,1,0,0,0
37.505449,0,1,0,0,0,0,0
37.5818601,0,1,0,0,0,0,0
37.6342054,0,1,0,0,0,0,0
37.4164666,0,0,0,1,0,0,0
37.3533105,0,0,0,0,0,1,0
37.332753499999995,0,1,0,0,0,0,0
37.3364786,0,1,0,0,0,0,0
37.4440152,0,0,1,0,0,0,0
37.4436041,1,0,0,0,0,0,0
37.4086695,0,1,0,0,0,0,0
37.3297727,0,0,0,0,0,0,1
37.4552034,0,0,1,0,0,0,0
37.3311926,0,1,0,0,0,0,0
37.3827216,0,1,0,0,0,0,0
37.334469399999996,0,0,0,0,0,0,1
37.490493900000004,0,1,0,0,0,0,0
37.3521196,0,1,0,0,0,0,0
37.5572499,0,0,0,1,0,0,0
37.634261200000005,0,1,0,0,0,0,0
37.33001229999999,0,0,0,0,0,0,1
37.3559777,0,0,0,1,0,0,0
37.4618588,0,1,0,0,0,0,0
37.362838700000005,0,0,0,0,0,1,0
37.3564028,0,0,0,1,0,0,0
37.388597499999996,0,0,0,0,0,0,1
37.413858399999995,0,1,0,0,0,0,0
37.422824799999994,0,1,0,0,0,0,0
37.6063854,0,1,0,0,0,0,0
37.497475,0,0,0,1,0,0,0
37.4432626,0,0,0,0,0,1,0
37.336441,0,0,0,0,0,0,1
37.4261357,0,1,0,0,0,0,0
37.4657323,0,0,0,1,0,0,0
37.3319247,0,1,0,0,0,0,0
37.3663725,0,1,0,0,0,0,0
37.60975429999999,0,1,0,0,0,0,0
37.3658116,0,1,0,0,0,0,0
37.5727072,0,1,0,0,0,0,0
37.396690899999996,0,1,0,0,0,0,0
37.6310903,1,0,0,0,0,0,0
37.4198736,1,0,0,0,0,0,0
37.432942700000005,0,1,0,0,0,0,0
37.4687955,0,0,1,0,0,0,0
37.4368511,0,1,0,0,0,0,0
37.3880659,0,1,0,0,0,0,0
37.443897899999996,0,0,1,0,0,0,0
37.443917600000006,0,1,0,0,0,0,0
37.5187027,0,1,0,0,0,0,0
37.3896985,0,0,0,1,0,0,0
37.4251983,0,0,1,0,0,0,0
37.352663,0,0,1,0,0,0,0
37.5228592,0,0,0,1,0,0,0
37.4911631,0,0,0,0,1,0,0
37.3690174,0,0,1,0,0,0,0
37.4079642,1,0,0,0,0,0,0
37.3398679,0,0,0,1,0,0,0
37.4356961,0,0,0,1,0,0,0
37.3827326,0,0,0,0,0,0,1
37.3886896,0,0,0,0,0,1,0
37.3356808,0,0,0,0,0,0,1
37.4975294,0,0,0,1,0,0,0
37.3304216,0,1,0,0,0,0,0
37.3877023,0,1,0,0,0,0,0
37.4327019,0,0,0,1,0,0,0
37.335342600000004,0,1,0,0,0,0,0
37.4353197,0,1,0,0,0,0,0
37.3958717,0,0,0,0,0,0,1
37.581235299999996,0,0,0,1,0,0,0
37.5033489,0,1,0,0,0,0,0
37.419526399999995,1,0,0,0,0,0,0
37.4692991,0,0,0,1,0,0,0
37.36156870000001,0,0,0,1,0,0,0
37.448820500000004,0,0,0,0,0,1,0
37.5042755,0,1,0,0,0,0,0
37.3742497,1,0,0,0,0,0,0
37.442574900000004,0,1,0,0,0,0,0
37.429351700000005,0,1,0,0,0,0,0
37.352098600000005,0,0,0,0,0,1,0
37.38578270000001,0,0,0,0,0,1,0
37.3340694,0,0,0,0,0,0,1
37.3365149,0,0,0,0,0,0,1
37.5021584,0,0,0,1,0,0,0
37.49290870000001,0,0,0,1,0,0,0
37.5828263,0,0,0,0,1,0,0
37.371218799999994,0,0,0,1,0,0,0
37.4853657,0,1,0,0,0,0,0
37.3345925,0,0,0,0,0,0,1
37.4248338,0,0,0,0,1,0,0
37.395789799999996,0,0,0,0,0,0,1
37.5330258,0,1,0,0,0,0,0
37.38385460000001,0,0,0,0,0,1,0
37.613193100000004,0,1,0,0,0,0,0
37.34643,0,0,0,1,0,0,0
37.5235396,0,0,0,1,0,0,0
37.5391327,0,0,0,1,0,0,0
37.335370000000005,0,1,0,0,0,0,0
37.490298200000005,0,0,0,1,0,0,0
37.416466299999996,0,1,0,0,0,0,0
37.4218265,0,0,0,0,0,0,1
37.4134309,0,1,0,0,0,0,0
37.5145376,0,1,0,0,0,0,0
37.384405,0,0,0,0,0,0,1
37.3366134,0,0,0,0,0,0,1
37.4362125,0,0,0,0,0,1,0
37.3563278,1,0,0,0,0,0,0
37.424347999999995,0,1,0,0,0,0,0
37.3873921,0,0,0,0,0,1,0
37.411187899999994,0,0,0,1,0,0,0
37.331044399999996,0,0,0,0,0,0,1
37.4555089,0,1,0,0,0,0,0
37.444444399999995,0,0,1,0,0,0,0
37.631675,0,1,0,0,0,0,0
37.525781,0,0,0,1,0,0,0
37.461861299999995,0,1,0,0,0,0,0
37.352162299999996,0,0,0,1,0,0,0
37.3852141,0,1,0,0,0,0,0
37.3906104,0,0,0,0,0,1,0
37.419912100000005,1,0,0,0,0,0,0
37.3679467,0,1,0,0,0,0,0
37.6311221,0,1,0,0,0,0,0
37.4165001,0,0,0,1,0,0,0
37.6343371,0,1,0,0,0,0,0
37.336352000000005,0,0,0,0,0,0,1
37.3911058,0,1,0,0,0,0,0
37.449389000000004,0,0,0,1,0,0,0
37.5651419,0,0,0,1,0,0,0
37.4251309,1,0,0,0,0,0,0
37.4454179,0,1,0,0,0,0,0
37.3346235,0,1,0,0,0,0,0
37.4235939,0,0,0,0,1,0,0
37.4436354,0,0,0,0,0,1,0
37.384840399999995,0,1,0,0,0,0,0
37.4465007,0,1,0,0,0,0,0
37.6258458,1,0,0,0,0,0,0
37.6328351,0,0,0,1,0,0,0
37.4214082,0,0,0,0,0,1,0
37.3979414,0,0,0,1,0,0,0
37.4355944,0,0,0,0,0,1,0
37.4841458,0,0,0,0,1,0,0
37.444075399999996,0,0,0,0,0,1,0
37.5361277,0,1,0,0,0,0,0
37.4457097,0,0,0,0,1,0,0
37.4508572,0,0,0,1,0,0,0
37.4795811,0,1,0,0,0,0,0
37.4121816,0,1,0,0,0,0,0
37.443805,0,0,0,0,0,1,0
37.3390315,0,1,0,0,0,0,0
37.375466700000004,0,0,0,1,0,0,0
37.3723551,0,1,0,0,0,0,0
37.3352537,0,1,0,0,0,0,0
37.3614398,0,1,0,0,0,0,0
37.393171,0,0,0,0,1,0,0
37.635028999999996,0,1,0,0,0,0,0
